seed,step,epsilon,sigma,cutoff_nm,stable,violations,loss,density_kg_m3,dhvap_kj_mol,pressure_bar,potential_per_molecule,diffusion_cm2_s,box_nm,energy_drift,cost_usd,gpu_hours,latency_hours,best_so_far,cumulative_cost
0,1,5.149912,0.423525,1.157384,True,,0.2958606093137185,1398.924501271868,134.68473514196583,45.40948716812579,-132.20577826685084,1.8434047127784595e-07,2.3862449701584865,0.012415744023914895,0.267322,0.04455366863144768,0.04455366863144768,0.2958606093137185,0.27
0,2,6.930762,0.386006,1.015315,False,blowup,,,,,,,,,0.006392,0.001065416137377421,0.001065416137377421,0.2958606093137185,0.27
0,3,3.082742,0.289641,0.981797,True,,0.4638976128092255,1810.6403433101823,46.50537003867215,9.529254178619892,-44.026413163557145,1.202727592099786e-05,2.188941424657109,0.01014666525708286,0.245246,0.040874271657731796,0.040874271657731796,0.2958606093137185,0.52
0,4,4.343656,0.418069,1.043993,True,,0.18099039045615484,885.7478787054127,85.00773291489419,1.586039567980702,-82.52877603977919,3.8044502853705538e-06,2.780925549798247,0.009695175996010205,0.244067,0.04067785441875458,0.04067785441875458,0.18099039045615484,0.76
0,5,3.749494,0.422133,1.001219,True,,0.307043165585816,811.460987654113,67.43811376442704,19.780504050440715,-64.95915688931204,6.981759556669757e-06,2.86927711099542,0.007877089455150262,0.247524,0.04125396172205607,0.04125396172205607,0.18099039045615484,1.01
0,6,5.537203,0.342601,1.187147,False,min_image,,,,,,,,,0.004673,0.0007788169384002685,0.0007788169384002685,0.18099039045615484,1.02
0,7,1.982455,0.427915,1.042082,True,,0.5986227278044297,632.6610502608681,27.300380979407056,-7.656902066679919,-24.821424104292056,4.863458408015013e-05,3.116033189694037,0.00014233371345635405,0.254832,0.042472029195891485,0.042472029195891485,0.18099039045615484,1.27
0,8,6.606375,0.368481,1.103664,False,min_image,,,,,,,,,0.006391,0.0010652211639616224,0.0010652211639616224,0.18099039045615484,1.28
0,9,8.0,0.28,1.2,False,min_image,,,,,,,,,0.004794,0.0007990504635704888,0.0007990504635704888,0.18099039045615484,1.28
0,10,4.791922,0.424647,1.138298,True,,0.18232441408118874,1336.6079960959034,118.52750645501474,-105.94360643912727,-116.04854957989974,1.3797585070974878e-08,2.431843064818851,0.012495719962497672,0.260038,0.04333961645762126,0.04333961645762126,0.18099039045615484,1.54
0,11,4.381799,0.420204,1.077633,True,,0.16622947466647298,882.0013014142091,87.96514976463308,3.2151733705628733,-85.48619288951808,2.2076829055133276e-06,2.7916238548933463,0.008763434848843909,0.25352,0.042253407504823474,0.042253407504823474,0.16622947466647298,1.79
0,12,2.369515,0.285843,0.94106,True,,0.49796023386871885,1670.509119880485,30.172516766093523,-1.864411586012928,-27.693559890978523,2.24889514716467e-05,2.254732751592313,0.0026341722894764816,0.257866,0.04297767804728614,0.04297767804728614,0.16622947466647298,2.05
0,13,1.0,0.386782,1.2,True,,0.8627656018509556,291.469982921266,3.899285665100635,38.09682707168868,-1.4203287899856354,0.00040198863445895883,4.104627256847707,0.015557898278307324,0.300462,0.05007693085405562,0.05007693085405562,0.16622947466647298,2.35
0,14,1.611882,0.409963,1.2,True,,0.6309939654895536,642.4578780437325,20.700367430631342,0.435399835073657,-18.221410555516343,5.498794373968888e-05,3.093626667336576,0.0056803704536315,0.305543,0.05092381417751312,0.05092381417751312,0.16622947466647298,2.66
0,15,4.512977,0.421429,0.9,True,,0.2389669048122094,841.1398851328297,77.68179196126665,12.182743526375656,-75.20283508615165,4.658056763111061e-06,2.833575400480221,0.004035041449639316,0.277169,0.04619475642840067,0.04619475642840067,0.16622947466647298,2.94
0,16,4.289903,0.419316,1.2,True,,0.1402234154602865,908.6888220687754,90.76836984819658,0.6719761578452093,-88.28941297308158,2.16958595561889e-06,2.756592874250699,0.023514825539564146,0.295354,0.049225663542747496,0.049225663542747496,0.1402234154602865,3.23
0,17,5.122324,0.432381,1.2,False,blowup,,,,,,,,,0.104349,0.01739150027434031,0.01739150027434031,0.1402234154602865,3.34
0,18,3.586204,0.45,0.938985,True,,0.413076500457518,672.1953073104831,58.210912131882736,-0.6976650968381477,-55.73195525676773,7.156296519881461e-06,3.053681079276978,0.00426023306732456,0.275272,0.04587860465049744,0.04587860465049744,0.1402234154602865,3.61
0,19,3.595369,0.438934,0.949736,True,,0.3864819952572961,718.0106662421141,59.73801794070519,11.605639884556776,-57.25906106559019,1.0489739453995193e-05,2.9882091992674504,0.006793257234969789,0.291204,0.04853392554654015,0.04853392554654015,0.1402234154602865,3.9
0,20,3.617548,0.45,0.926381,False,blowup,,,,,,,,,0.005579,0.0009298449754714965,0.0009298449754714965,0.1402234154602865,3.91
0,21,1.0,0.28,0.9,True,,0.8915275777445018,263.3498546596282,0.6980864019738713,61.45085169180784,1.7808704731411285,0.0008647873688665664,4.285574528641865,0.004630209015302113,0.295939,0.04932315051555634,0.04932315051555634,0.1402234154602865,4.2
0,22,1.759572,0.28,1.2,False,min_image,,,,,,,,,0.024859,0.004143186145358616,0.004143186145358616,0.1402234154602865,4.23
0,23,1.787189,0.36253,0.9,True,,0.5733474627220826,816.0371398827602,18.639811586447493,0.09626510860857404,-16.160854711332494,7.235397126007853e-05,2.869668469031844,0.002049285654101804,0.314554,0.052425666981273225,0.052425666981273225,0.1402234154602865,4.54
0,24,3.10174,0.45,1.2,True,,0.3976976635965628,685.1236067752286,60.07496275201029,4.8856159941209825,-57.59600587689529,1.1878017761337235e-05,3.0308220519964646,0.01639366583833534,0.317059,0.05284317115942637,0.05284317115942637,0.1402234154602865,4.86
0,25,1.0,0.45,0.9,True,,0.9128167090141586,187.18613006286608,2.3311718681001747,39.43620571618538,0.1477850070148248,0.000499078120968916,4.756636037818463,0.005490697060030783,0.295506,0.04925107975800832,0.04925107975800832,0.1402234154602865,5.16
0,26,3.089628,0.45,1.2,True,,0.40046850190772587,683.6422476295418,59.67779325809562,-3.021117321759895,-57.198836382980616,8.773454828389526e-06,3.035567696532044,0.006147187325886822,0.322278,0.05371303942468431,0.05371303942468431,0.1402234154602865,5.48
0,27,3.097843,0.45,0.9,True,,0.505112627326743,631.3579881543375,44.41344896413235,-5.294427114887987,-41.93449208901735,1.643852298422974e-05,3.119068991739414,0.006220436053381218,0.309827,0.05163777920934889,0.05163777920934889,0.1402234154602865,5.79
0,28,3.11218,0.45,0.9,True,,0.503233126049133,631.5221871326695,44.743644303596156,-5.738902685170842,-42.26468742848115,1.953507044403902e-05,3.1162518042944893,0.006696815940799347,0.313195,0.052199104958110386,0.052199104958110386,0.1402234154602865,6.1
0,29,4.203253,0.418818,1.2,True,,0.15859476243972198,895.5603344176079,88.37415880494524,14.565699300870865,-85.89520192983024,2.3227090889046013e-06,2.7681486072818937,0.010310393012588194,0.317599,0.05293323914210002,0.05293323914210002,0.1402234154602865,6.42
0,30,3.334008,0.28,1.2,False,min_image,,,,,,,,,0.00633,0.0010549569129943849,0.0010549569129943849,0.1402234154602865,6.42
0,31,4.252568,0.444602,0.944361,True,,0.2982670951020105,737.1798974578907,74.40692503228911,-3.6353525441319987,-71.9279681571741,6.476803535028015e-06,2.961216511414958,0.012145382842368413,0.308885,0.05148082335789998,0.05148082335789998,0.1402234154602865,6.73
0,32,5.047127,0.421044,1.147611,False,blowup,,,,,,,,,0.130838,0.02180635306570265,0.02180635306570265,0.1402234154602865,6.86
0,33,1.576007,0.408226,1.2,True,,0.6366800002100707,639.9884327138435,19.84408470353465,0.4134615351055775,-17.365127828419652,6.528796901131285e-05,3.1053777856407514,0.0033812477943721527,0.327381,0.05456344915760888,0.05456344915760888,0.1402234154602865,7.19
0,34,2.091959,0.440889,1.112152,True,,0.5806534926068792,616.2879038385745,31.75479030763456,9.015461187891072,-29.275833432519562,3.4521864938051686e-05,3.140142769834812,0.007351256997717367,0.306815,0.05113577637407515,0.05113577637407515,0.1402234154602865,7.5
0,35,2.099059,0.440169,1.112066,True,,0.5779555731883008,619.452341074775,32.016978370602956,5.61217136988866,-29.538021495487957,3.076154036359132e-05,3.134263400218482,0.006798177143348294,0.299376,0.04989605638715956,0.04989605638715956,0.1402234154602865,7.8
0,36,4.780928,0.407162,1.137897,True,,0.20902665352531166,1453.1789778295663,114.95759428037776,-41.812481804190234,-112.47863740526276,7.87173982936964e-08,2.359320890522362,0.000942362030495443,0.310879,0.05181314640574985,0.05181314640574985,0.1402234154602865,8.11
