seed,step,epsilon,sigma,cutoff_nm,stable,violations,loss,density_kg_m3,hvap_kj_mol,diffusion_cm2_s,energy_drift,temp_rmsd_k,cost_usd,gpu_hours,latency_hours,best_so_far,cumulative_cost
0,1,5.0,0.34,1.1,True,,0.17240953928827138,1573.0382698148967,,8.338316201046161e-07,0.02205862417429926,,0.232728,0.038787962529394364,0.038787962529394364,0.17240953928827138,0.23
0,2,5.0,0.325,1.1,False,min_image,,,,,,,0.028371,0.004728493889172872,0.004728493889172872,0.17240953928827138,0.26
0,3,5.0,0.37,1.1,True,,0.24028407655851983,1588.6555635053028,,1.7866562991673118e-07,0.00748116029772253,,0.223393,0.03723218361536662,0.03723218361536662,0.17240953928827138,0.48
0,4,4.0,0.335,1.1,True,,0.16199360441698635,1413.3990303581197,,5.004433212566885e-06,0.013264432873375951,,0.22799,0.03799828363789452,0.03799828363789452,0.16199360441698635,0.71
0,5,3.0,0.335,1.1,True,,0.24510769769723872,1293.0006174343364,,1.126021282889996e-05,0.0045737810585777736,,0.222966,0.03716097805235121,0.03716097805235121,0.16199360441698635,0.94
0,6,4.4,0.33,1.05,True,,0.152013537221824,1503.7434415443533,,3.2693732092829006e-06,0.0012509335588989177,,0.224985,0.037497563560803734,0.037497563560803734,0.152013537221824,1.16
0,7,4.9,0.333,1.05,True,,0.18017556426024253,1655.0513236247791,,8.772609533203989e-07,0.027682423324794567,,0.225955,0.037659120758374534,0.037659120758374534,0.152013537221824,1.39
0,8,4.4,0.324,1.05,True,,0.18078176724456213,1566.9998524266537,,3.1811194704135855e-06,0.000489690674800511,,0.22733,0.03788836909665002,0.03788836909665002,0.152013537221824,1.61
0,9,4.4,0.335,1.15,False,min_image,,,,,,,0.017286,0.002880924145380656,0.002880924145380656,0.152013537221824,1.63
0,10,4.3,0.338,1.05,True,,0.1254430495587022,1414.1143678329945,,3.5997587668601454e-06,0.00653643123490243,,0.227155,0.03785920162995656,0.03785920162995656,0.1254430495587022,1.86
0,11,4.25,0.344,1.05,True,,0.10595773938349672,1353.3230200512317,,3.9988115639289794e-06,0.01393937694781869,,0.226258,0.037709649403889975,0.037709649403889975,0.10595773938349672,2.08
0,12,4.2,0.35,1.05,True,,0.08932135507391144,1301.6461144725738,,4.5475897563088096e-06,0.0023328168917448044,,0.225005,0.03750077611870236,0.03750077611870236,0.08932135507391144,2.31
0,13,4.15,0.358,1.05,True,,0.08675410295984044,1231.6413342268827,,3.86101171788457e-06,0.007669852334126696,,0.223747,0.037291104992230734,0.037291104992230734,0.08675410295984044,2.53
0,14,4.1,0.366,1.05,True,,0.11641411594303253,1167.2606651739652,,4.954277041529426e-06,0.017101962424630537,,0.224102,0.03735030664338006,0.03735030664338006,0.08675410295984044,2.76
0,15,4.17,0.3546,1.05,True,,0.07449682898794918,1260.358547199136,,3.989827996782526e-06,0.0045024473381482764,,0.225095,0.037515850795639884,0.037515850795639884,0.07449682898794918,2.98
0,16,4.17,0.3546,1.1,True,,0.07011534164182306,1263.7362747791324,,3.6861876782810323e-06,0.011165836708956513,,0.226981,0.03783011747731103,0.03783011747731103,0.07011534164182306,3.21
0,17,4.1,0.357,1.12,True,,0.07881857322723372,1241.6801718545896,,3.2549958765781496e-06,0.004078756388155455,,0.235698,0.039282986124356586,0.039282986124356586,0.07011534164182306,3.45
0,18,4.17,0.3546,1.12,True,,0.069110151269216,1267.3905050190747,,4.117093427292655e-06,0.00161941306513936,,0.167687,0.02794786751270294,0.02794786751270294,0.069110151269216,3.61
0,19,4.19,0.3546,1.18,True,,0.06342425675733863,1277.0207350194496,,4.088294311634685e-06,0.00913709809878298,,0.135339,0.022556547787454393,0.022556547787454393,0.06342425675733863,3.75
0,20,4.19,0.356,1.2,True,,0.05516497178393032,1263.6714009559341,,3.4992676089169127e-06,0.0005251657506098709,,0.192708,0.032117958135075036,0.032117958135075036,0.05516497178393032,3.94
1,1,4.5,0.33,1.1,True,,0.14788656149393578,1543.3157326121004,,2.344638579413787e-06,0.0016950462532944145,,0.308402,0.051400283310148454,0.051400283310148454,0.14788656149393578,0.31
1,2,4.5,0.315,1.1,True,,0.22601554644393038,1722.5247810940166,,2.423239128841644e-06,0.005071423534434529,,0.303766,0.05062766750653585,0.05062766750653585,0.14788656149393578,0.61
1,3,4.5,0.35,1.1,True,,0.09111230394730381,1447.9975898594737,,1.2040825995359518e-06,0.0182558900347636,,0.313881,0.05231357971827189,0.05231357971827189,0.09111230394730381,0.93
1,4,4.5,0.375,1.1,True,,0.0030461344599114403,1261.4494167276214,,9.333432752211647e-07,0.00415743325532767,,0.328407,0.05473452806472778,0.05473452806472778,0.0030461344599114403,1.25
1,5,4.5,0.38,1.1,True,,0.010614029388179624,1273.8150895678007,,7.66461962799094e-07,0.00895467757469577,,0.325216,0.054202600253952876,0.054202600253952876,0.0030461344599114403,1.58
1,6,4.5,0.373,1.1,True,,0.06307574983237801,1394.576441455431,,8.69337877591077e-07,0.008337805429857473,,0.313889,0.05231483280658722,0.05231483280658722,0.0030461344599114403,1.89
1,7,4.8,0.375,1.1,True,,0.236886425398407,1632.1820550862276,,1.8904438188791977e-07,0.01455663502722481,,0.323434,0.053905629714330036,0.053905629714330036,0.0030461344599114403,2.22
1,8,4.4,0.377,1.1,True,,0.07255218060916266,1136.7776259330074,,2.4533368778915684e-06,0.013628527776129726,,0.322234,0.053705600566334194,0.053705600566334194,0.0030461344599114403,2.54
1,9,4.5,0.3765,1.1,True,,0.0671830100595261,1385.7658883728898,,3.615149030044481e-07,0.009168530902852514,,0.323654,0.0539422611395518,0.0539422611395518,0.0030461344599114403,2.86
1,10,4.5,0.375,1.15,True,,0.06223582282210556,1364.2533919351183,,3.0817949885275024e-07,0.008135846855900915,,0.317335,0.05288911779721578,0.05288911779721578,0.0030461344599114403,3.18
1,11,4.5,0.3775,1.1,True,,0.012380396158234799,1238.4411409206195,,1.6417759675801185e-06,0.007247222722425103,,0.324279,0.05404646688037448,0.05404646688037448,0.0030461344599114403,3.5
1,12,4.5,0.3755,1.1,True,,0.032550236707560055,1191.6747601701409,,1.465419593234984e-06,0.010213646130516639,,0.326227,0.054371190071105954,0.054371190071105954,0.0030461344599114403,3.83
1,13,4.5,0.375,1.05,True,,0.01978718531938428,1281.5578944892013,,2.395150838328824e-06,0.006126560216408447,,0.296718,0.04945304724905226,0.04945304724905226,0.0030461344599114403,4.13
1,14,4.55,0.3745,1.1,True,,0.020214613861851066,1210.4492949398957,,1.3147191666750943e-06,0.010112349004432572,,0.308322,0.051386982533666824,0.051386982533666824,0.0030461344599114403,4.44
1,15,4.5,0.377,1.1,True,,0.029498045092300505,1317.708493006519,,4.936152639090122e-07,0.00199467382876141,,0.320625,0.05343747138977051,0.05343747138977051,0.0030461344599114403,4.76
1,16,4.5,0.374,1.1,True,,0.01127845409463507,1277.189726512928,,1.4429140604252177e-06,0.003683414056460489,,0.314863,0.05247715089056227,0.05247715089056227,0.0030461344599114403,5.07
1,17,4.5,0.3745,1.1,True,,0.04572832806081836,1173.3379216866567,,2.3625188079741357e-06,0.018114069983422083,,0.25032,0.041720081170399985,0.041720081170399985,0.0030461344599114403,5.32
1,18,4.5,0.3748,1.1,True,,0.05208412466728077,1157.829337076845,,2.9024365301656637e-06,0.0018102323919412916,,0.194217,0.032369475033548145,0.032369475033548145,0.0030461344599114403,5.52
1,19,4.5,0.3752,1.1,True,,0.002308831411842053,1254.9689917656976,,1.3831175005397378e-06,0.0024923779362416984,,0.163818,0.02730295717716217,0.02730295717716217,0.002308831411842053,5.68
1,20,4.5,0.3751,1.1,True,,0.006799018473923067,1271.6559335696197,,1.6586985597713195e-06,0.004327769376974137,,0.152837,0.025472835567262438,0.025472835567262438,0.002308831411842053,5.83
10,1,5.5,0.34,1.1,False,min_image,,,,,,,0.005226,0.0008709719445970323,0.0008709719445970323,,0.01
10,2,4.0,0.36,0.9,True,,0.16321603688385533,1171.6446374362008,,6.169820461467957e-06,0.005466872700853828,,0.168605,0.02810081468688117,0.02810081468688117,0.16321603688385533,0.17
10,3,5.0,0.385,1.1,True,,0.3565727383748213,1730.7775337552434,,1.8871605288943612e-07,0.013437740770268288,,0.178287,0.02971442805396186,0.02971442805396186,0.16321603688385533,0.35
10,4,4.0,0.335,0.9,True,,0.1814888699677143,1385.495080887629,,5.682654344531011e-06,0.0013474038339521977,,0.169962,0.028326962523990206,0.028326962523990206,0.16321603688385533,0.52
10,5,3.2,0.345,1.0,True,,0.2263588138702645,1224.5449455276728,,8.838315112097759e-06,0.014249831478309305,,0.170925,0.02848750584655338,0.02848750584655338,0.16321603688385533,0.69
10,6,5.4,0.37,1.0,False,blowup,,,,,,,0.065116,0.010852642787827386,0.010852642787827386,0.16321603688385533,0.76
10,7,4.5,0.365,0.95,True,,0.04964412911821065,1285.94249678183,,1.7316721287470362e-06,0.010837668475971462,,0.179175,0.029862483541170756,0.029862483541170756,0.04964412911821065,0.94
10,8,4.8,0.3675,0.95,True,,0.11467649394324138,1493.950596203374,,2.2695483827739972e-07,0.013442422185024687,,0.176025,0.029337507883707682,0.029337507883707682,0.04964412911821065,1.11
10,9,4.3,0.365,0.95,True,,0.10227602367632549,1189.12273737544,,3.861709152610263e-06,0.016762513140418423,,0.172351,0.028725167247984143,0.028725167247984143,0.04964412911821065,1.29
10,10,4.5,0.3575,0.95,True,,0.0783497925648653,1343.4205099853325,,2.0215828594350433e-06,0.0073413416356608845,,0.172718,0.028786328103807237,0.028786328103807237,0.04964412911821065,1.46
10,11,4.5,0.37,0.95,True,,0.08775815713122423,1155.00563874056,,2.5642459673962847e-06,0.009746736961929129,,0.170677,0.028446243935161167,0.028446243935161167,0.04964412911821065,1.63
10,12,4.55,0.363,0.95,True,,0.04523248395412929,1277.1555139176608,,2.1646143747598096e-06,0.010269698286769439,,0.17147,0.02857828034294976,0.02857828034294976,0.04523248395412929,1.8
10,13,4.6,0.362,0.95,True,,0.05745895133809389,1335.8454590273257,,1.7990467141308292e-06,0.009244134351061582,,0.173577,0.02892947918838925,0.02892947918838925,0.04523248395412929,1.97
10,14,4.55,0.363,1.05,True,,0.12259775032209075,1546.1322530282173,,4.260940254248286e-07,0.010871283693130795,,0.174293,0.02904882080025143,0.02904882080025143,0.04523248395412929,2.15
10,15,4.55,0.363,0.9,True,,0.080141759561199,1199.1716709775149,,3.103248089242604e-06,0.016642716006138147,,0.17059,0.028431668877601624,0.028431668877601624,0.04523248395412929,2.32
