arm,tag,seed,step,stable,violations,loss,cost_usd,epsilon,sigma,bond_length_nm,bond_k,angle_deg,angle_k
GP (untuned),gp_untuned,0,44,True,,0.9100500885162238,0.046413,1.326861,0.351704,0.202536,2377.100998,161.355931,51.907047
GP (untuned),gp_untuned,0,45,True,,0.7306608791765535,0.046359,1.338098,0.349852,0.20324,2999.029373,138.683797,51.733146
GP (untuned),gp_untuned,0,46,True,,1.1857580255173295,0.046674,1.257998,0.340039,0.206706,3745.58949,97.615907,56.977344
GP (untuned),gp_untuned,0,47,True,,0.8398502000413982,0.044859,1.330799,0.353276,0.207621,3397.882192,144.548394,43.451286
GP (untuned),gp_untuned,0,48,True,,0.9533632059082665,0.045693,1.057961,0.351918,0.211037,3734.39767,144.453232,19.144311
GP (untuned),gp_untuned,0,49,True,,0.9961878542849223,0.045356,1.161458,0.362343,0.214024,3044.882793,175.0,29.316382
GP (untuned),gp_untuned,0,50,True,,1.1565532337044573,0.046454,1.0,0.388769,0.2,2228.689355,167.611322,20.348638
GP (untuned),gp_untuned,0,51,True,,0.6666096572846862,0.046416,1.648867,0.383439,0.207869,2239.042711,175.0,43.896435
GP (untuned),gp_untuned,0,52,True,,1.0802137037992698,0.046078,1.989202,0.319463,0.222675,5499.632488,175.0,26.22682
GP (untuned),gp_untuned,0,53,True,,2.83230611095381,0.044351,6.248211,0.28,0.28514,2696.72309,154.763254,5.580377
GP (untuned),gp_untuned,0,54,False,blowup,,0.002921,1.066609,0.430076,0.2,763.017215,175.0,55.189902
GP (untuned),gp_untuned,0,55,False,blowup,,0.005311,6.245389,0.398642,0.205555,2782.83552,110.797631,136.212071
GP (untuned),gp_untuned,0,56,True,,0.8906217266880632,0.047342,1.384761,0.354315,0.20282,3675.86249,153.998927,106.133883
GP (untuned),gp_untuned,0,57,True,,1.2598437654945924,0.046236,1.752077,0.347088,0.209709,1594.371559,148.924368,6.59738
GP (untuned),gp_untuned,0,58,True,,1.076684200329259,0.047439,1.406253,0.354649,0.200901,2477.293859,171.963421,88.930083
GP (untuned),gp_untuned,0,59,True,,0.9053670312996625,0.045751,1.673779,0.339607,0.220902,4754.890228,155.353234,19.391376
GP (untuned),gp_untuned,0,60,True,,1.2070020519369122,0.046544,1.665909,0.397693,0.203564,2160.65965,156.763951,6.297499
GP (untuned),gp_untuned,0,61,True,,1.4661631547101663,0.046932,1.349846,0.395118,0.202709,5926.669693,93.065367,21.432184
GP (untuned),gp_untuned,0,62,True,,1.552010148955656,0.047488,1.660447,0.299158,0.218121,400.0,175.0,48.100512
GP (untuned),gp_untuned,0,63,False,blowup,,0.029744,1.204419,0.35654,0.210451,795.471845,131.850233,128.505273
GP (untuned),gp_untuned,0,64,True,,0.9275408813700248,0.047814,1.272249,0.347229,0.2,3086.55339,155.616446,58.638615
GP (untuned),gp_untuned,0,65,True,,1.3527104180396174,0.047123,1.0,0.403531,0.203187,1850.738149,161.103926,21.207369
GP (untuned),gp_untuned,0,66,False,blowup,,0.007715,4.016302,0.353672,0.2,2772.741364,138.161417,58.608087
GP (untuned),gp_untuned,0,67,False,blowup,,0.005823,1.524178,0.35678,0.20106,2988.323458,133.147962,57.913484
GP (untuned),gp_untuned,0,68,True,,1.2402334298644964,0.047664,1.673636,0.378311,0.203468,2294.235394,87.889947,45.880867
GP (untuned),gp_untuned,0,69,True,,2.357885903332865,0.046417,5.076782,0.28,0.377939,1162.760764,175.0,5.0
GP (untuned),gp_untuned,0,70,True,,1.0064723666941278,0.046416,1.56765,0.350965,0.212001,1059.063354,175.0,35.739894
GP (untuned),gp_untuned,0,71,True,,0.6749929233601135,0.046487,1.423243,0.347956,0.209851,6000.0,153.889488,38.168763
GP (untuned),gp_untuned,0,72,True,,0.6546935375095925,0.047017,1.555115,0.347975,0.218227,4172.905685,175.0,29.60295
GP (untuned),gp_untuned,0,73,True,,0.8687721221997816,0.047939,1.402286,0.354753,0.202464,3535.459822,171.102286,64.166965
GP (untuned),gp_untuned,0,74,True,,1.2945188362134523,0.046502,1.209875,0.347366,0.215731,4732.939499,93.850295,32.508595
GP (untuned),gp_untuned,0,75,True,,1.090966442654461,0.046885,1.592427,0.346439,0.206257,6000.0,174.049808,39.292795
GP (untuned),gp_untuned,0,76,True,,0.7630030791066184,0.047426,1.48429,0.34751,0.216433,4120.751458,175.0,32.247165
GP (untuned),gp_untuned,0,77,True,,1.2375838132606858,0.048535,1.405521,0.344157,0.2,5235.444777,175.0,102.926717
GP (untuned),gp_untuned,0,78,True,,0.9602631078015883,0.047516,1.482544,0.33789,0.22096,3973.594373,175.0,29.378829
GP (untuned),gp_untuned,0,79,True,,1.0205926038923785,0.048455,1.142824,0.356414,0.201898,4519.928276,175.0,51.819787
GP (untuned),gp_untuned,0,80,True,,0.6230409676828393,0.047557,1.467886,0.35881,0.213511,3015.310154,175.0,29.810098
GP (untuned),gp_untuned,0,81,True,,0.7680263428538322,0.047768,1.4648,0.3609,0.213393,4842.19358,175.0,29.487869
GP (untuned),gp_untuned,0,82,True,,1.1860039960420272,0.048035,1.397869,0.301475,0.2,996.977333,175.0,11.262345
GP (untuned),gp_untuned,0,83,True,,2.0981337248429472,0.047773,3.204425,0.285959,0.262124,1231.274437,175.0,5.0
GP (untuned),gp_untuned,0,84,False,blowup,,0.033617,1.496907,0.35391,0.223601,415.059631,175.0,29.42781
GP (untuned),gp_untuned,0,85,True,,1.5623087374288247,0.047834,1.498985,0.306917,0.2,1381.985702,95.12718,16.858249
GP (untuned),gp_untuned,0,86,True,,1.2623439290394283,0.049461,1.007821,0.318501,0.2,2754.258963,172.610937,67.327131
GP (untuned),gp_untuned,0,87,True,,0.9746885568396184,0.047187,1.56174,0.346408,0.202698,1739.288689,146.890278,13.694863
GP (untuned),gp_untuned,0,88,True,,1.0403065513546086,0.0488,1.466044,0.398801,0.2,2535.578372,167.349888,49.790028
GP (untuned),gp_untuned,0,89,True,,0.5961957680616363,0.049118,1.542875,0.374929,0.201791,2334.864788,150.758699,49.940715
GP (untuned),gp_untuned,0,90,True,,0.7514914595177623,0.048708,1.471016,0.364862,0.212496,4158.913798,157.557275,27.264892
GP (untuned),gp_untuned,0,91,True,,0.7009672293843316,0.048274,1.658747,0.374971,0.215412,1145.036641,122.120857,17.503167
GP (untuned),gp_untuned,0,92,True,,1.2741991610034025,0.048751,1.33058,0.356837,0.209472,1074.440149,106.657094,12.028216
GP (untuned),gp_untuned,0,93,True,,1.1528926929512573,0.048296,1.252077,0.348507,0.213412,6000.0,92.978438,37.222284
GP (untuned),gp_untuned,0,94,True,,1.3583067699621847,0.049636,1.349271,0.321898,0.2,2164.90993,172.530697,41.58111
GP (untuned),gp_untuned,0,95,True,,0.7619410317150594,0.04919,1.524174,0.377179,0.206071,2494.673856,175.0,51.533378
GP (untuned),gp_untuned,0,96,True,,2.6573343040557242,0.048463,1.600563,0.45,0.212582,2326.576131,167.462631,20.125539
GP (untuned),gp_untuned,0,97,True,,1.3589708483863638,0.049936,1.190564,0.359836,0.200571,2677.412123,82.787023,50.850666
GP (untuned),gp_untuned,0,98,True,,1.081535403726299,0.048732,1.18088,0.346638,0.212187,5885.009394,175.0,32.78398
GP (untuned),gp_untuned,0,99,True,,0.9069366245513805,0.048914,1.763784,0.352976,0.200792,2435.662585,152.113981,12.393784
GP (untuned),gp_untuned,0,100,True,,1.34902934302329,0.050322,1.0,0.370526,0.2,4735.026081,175.0,101.649149
GP (untuned),gp_untuned,0,101,True,,1.1688625575886233,0.049153,1.197035,0.368046,0.213364,3493.124666,175.0,48.423473
GP (untuned),gp_untuned,0,102,True,,1.3529644713839004,0.049935,1.706667,0.28,0.2,724.379465,162.496531,26.363028
GP (untuned),gp_untuned,0,103,True,,1.4217158235454068,0.049255,1.394136,0.354,0.2,4426.546417,144.563628,5.0
GP (untuned),gp_untuned,0,104,True,,0.7800896466786661,0.049814,1.606734,0.353582,0.230721,4262.5953,175.0,31.621147
GP (untuned),gp_untuned,0,105,True,,0.8877944867247408,0.049651,1.593036,0.360026,0.221878,4834.751411,175.0,63.02163
GP (untuned),gp_untuned,0,106,True,,1.2792213527807885,0.049935,1.738108,0.320558,0.21779,2108.156362,172.487409,5.0
GP (untuned),gp_untuned,0,107,True,,0.8764229548120991,0.05015,1.620126,0.366006,0.2,2456.359411,175.0,59.554218
GP (untuned),gp_untuned,0,108,True,,1.4728759823635242,0.051081,1.324664,0.324022,0.205055,2906.83469,96.657238,75.42789
GP (untuned),gp_untuned,0,109,True,,1.7134059134337367,0.049958,1.308407,0.362583,0.256039,5522.49753,175.0,31.675302
GP (untuned),gp_untuned,0,110,True,,1.2295013981437297,0.04869,1.571597,0.335152,0.2,3723.955927,150.579695,46.107305
GP (untuned),gp_untuned,0,111,True,,1.3594391397487373,0.050167,1.0,0.312672,0.2,400.0,175.0,5.0
GP (untuned),gp_untuned,0,112,True,,2.337949265951326,0.049511,2.624585,0.28,0.2,400.0,175.0,5.0
GP (untuned),gp_untuned,0,113,True,,1.57798131248507,0.050332,1.0,0.327398,0.2,1339.876623,131.248126,5.0
GP (untuned),gp_untuned,0,114,True,,1.288132678465009,0.049782,1.624389,0.343705,0.2,4361.738296,175.0,51.373012
GP (untuned),gp_untuned,0,115,True,,0.9632165158264795,0.049036,1.950234,0.361299,0.2,5852.070439,175.0,47.135769
GP (untuned),gp_untuned,0,116,True,,1.5500289055924603,0.050249,1.0,0.28,0.2,1809.290265,162.755695,5.0
GP (untuned),gp_untuned,0,117,True,,1.6413821035565168,0.048908,1.0,0.442711,0.2,843.791359,142.365156,5.0
GP (untuned),gp_untuned,0,118,True,,1.2130703908821832,0.04971,1.409074,0.366451,0.23974,3346.332225,168.904985,22.113156
GP (untuned),gp_untuned,0,119,True,,1.9025393223684504,0.049676,1.739879,0.363677,0.332411,1089.111421,175.0,10.380901
GP (untuned),gp_untuned,0,120,True,,0.9991395151872078,0.049284,1.757974,0.28,0.2,6000.0,145.025386,62.96632
