arm,seed,step,loss,best_so_far,cumulative_cost,stable
random,0,1,0.46778517593491803,0.46778517593491803,41.41,True
random,0,2,0.26076098839634676,0.26076098839634676,105.26,True
random,0,3,0.502473108828611,0.26076098839634676,145.39,True
random,0,4,0.407671657825897,0.26076098839634676,195.39,True
random,0,5,0.7526135228465374,0.26076098839634676,222.28,True
random,0,6,0.42001329746373917,0.26076098839634676,288.05,True
random,0,7,0.47425823287790253,0.26076098839634676,328.76,True
random,0,8,0.48030717569349834,0.26076098839634676,372.24,True
random,0,9,0.261373726475032,0.26076098839634676,498.72,True
random,0,10,,0.26076098839634676,501.99,False
random,0,11,0.653162221751775,0.26076098839634676,539.63,True
random,0,12,0.2814758745587765,0.26076098839634676,611.58,True
random,0,13,,0.26076098839634676,638.56,False
random,0,14,0.5266953721558364,0.26076098839634676,664.39,True
random,0,15,0.27616808434380175,0.26076098839634676,741.93,True
random,0,16,0.3724735095296544,0.26076098839634676,842.17,True
random,0,17,0.3234726461934319,0.26076098839634676,940.2,True
random,0,18,0.4061626707719715,0.26076098839634676,1057.47,True
random,0,19,0.23099560320230814,0.23099560320230814,1145.66,True
random,0,20,0.21154843937025028,0.21154843937025028,1245.01,True
random,0,21,0.2055083833813949,0.2055083833813949,1341.71,True
random,0,22,1.106881674737672,0.2055083833813949,1396.57,True
random,0,23,0.19020593705755898,0.19020593705755898,1536.18,True
random,0,24,0.24802630088136246,0.19020593705755898,1612.95,True
random,0,25,0.3809009731661945,0.19020593705755898,1732.26,True
random,0,26,0.20952172953947487,0.19020593705755898,1863.18,True
random,0,27,0.24312146836930865,0.19020593705755898,1987.5,True
random,0,28,0.21294989079618468,0.19020593705755898,2139.28,True
random,0,29,0.20758082704503208,0.19020593705755898,2164.06,True
random,0,30,,0.19020593705755898,2170.07,False
random,0,31,0.19380936491655365,0.19020593705755898,2194.9,True
random,0,32,0.17834255854638992,0.17834255854638992,2219.56,True
random,0,33,0.18611872787195216,0.17834255854638992,2243.24,True
random,0,34,0.173704588790934,0.173704588790934,2267.19,True
random,0,35,0.16602830893039838,0.16602830893039838,2292.63,True
random,1,1,0.662613047396719,0.662613047396719,25.89,True
random,1,2,0.2543751148983717,0.2543751148983717,158.36,True
random,1,3,0.4063136449726408,0.2543751148983717,226.56,True
random,1,4,0.6010049477742493,0.2543751148983717,340.23,True
random,1,5,0.5092590588578867,0.2543751148983717,423.42,True
random,1,6,0.5527764173013004,0.2543751148983717,484.55,True
random,1,7,0.3218028053210985,0.2543751148983717,522.36,True
random,1,8,0.3500071217614777,0.2543751148983717,562.06,True
random,1,9,0.4075003820908921,0.2543751148983717,713.32,True
