epsilon,sigma,cutoff_nm,stable,violations,loss,density_kg_m3,dhvap_kj_mol
2.0,0.3,1.1159,True,,0.41964728820618347,1390.8484514705415,24.20207743380715
2.0,0.31,1.1159,True,,0.3796246277043631,1297.4747758235728,24.73397303430394
2.0,0.32,1.1159,True,,0.37857744316789493,1214.13131614522,25.30015314285904
2.0,0.33,1.1159,True,,0.4100002693002424,1130.5520091310195,25.625156938625132
2.0,0.34,1.1159,True,,0.43429749527819983,1061.6822565860818,26.18331251120056
2.0,0.35,1.1159,True,,0.457309415571427,997.8631981498527,26.61015757417211
2.0,0.36,1.1159,True,,0.47835909881405814,939.0746401511063,27.03035392226968
2.0,0.37,1.1159,True,,0.49517939235459757,888.482968423641,27.62754915586937
2.0,0.38,1.1159,True,,0.5118343342361142,840.4083514350876,28.072819970208887
2.0,0.39,1.1159,True,,0.5293424453269766,792.5892859101688,28.34433402723424
2.0,0.4,1.1159,True,,0.5442416499164375,750.3741244381853,28.685428071951186
2.0,0.41,1.1159,True,,0.5585555969950106,710.5769237353668,28.958186448689403
2.0,0.42,1.1159,True,,0.571785600635361,673.6028154089744,29.224073289087215
2.0,0.43,1.1159,True,,0.5840735431313804,639.7291286403389,29.437211219485743
2.0,0.44,1.1159,True,,0.5951174119753799,608.3051699273475,29.699620798461915
2.0,0.45,1.1159,True,,0.6065722743732923,577.1526025913438,29.86760414113305
2.25,0.3,1.1159,True,,0.42599473647522057,1484.9019418362334,29.84823061495648
2.25,0.31,1.1159,True,,0.3816700755183655,1380.631977929731,30.37513556875785
2.25,0.32,1.1159,True,,0.3414721643924106,1288.273529781352,31.012341994522004
2.25,0.33,1.1159,True,,0.3522721233846461,1197.1746836386374,31.3139241073161
2.25,0.34,1.1159,True,,0.3763549548829326,1127.2531739211254,31.98715629552241
2.25,0.35,1.1159,True,,0.4018449852302997,1056.5805357462896,32.458595433705014
2.25,0.36,1.1159,True,,0.4249831231743904,992.0495485924937,32.91395133280376
2.25,0.37,1.1159,True,,0.44751909974631,931.0241812757552,33.2253950349083
2.25,0.38,1.1159,True,,0.4628853517970055,883.1128322266626,33.89340083258717
2.25,0.39,1.1159,True,,0.47973065540979865,834.7205069415289,34.32700058534741
2.25,0.4,1.1159,True,,0.49807601177217964,786.1556833842117,34.50006478629097
2.25,0.41,1.1159,True,,0.5112333716378418,746.2917676175074,34.988146472217025
2.25,0.42,1.1159,True,,0.5263698809879938,706.1637467651157,35.135121460228426
2.25,0.43,1.1159,True,,0.5384107716343701,671.3190275288121,35.463442117279314
2.25,0.44,1.1159,True,,0.5508408482981798,636.740040527059,35.70171474517123
2.25,0.45,1.1159,True,,0.5621438784562904,606.002755706052,35.86730079510428
2.5,0.3,1.1159,True,,0.4236197840343231,1555.557965202306,35.38989513649846
2.5,0.31,1.1159,True,,0.37651985611169225,1446.8393355992293,36.100197646293964
2.5,0.32,1.1159,True,,0.33357834231620037,1346.0230877493575,36.62512201090506
2.5,0.33,1.1159,True,,0.2965828901187728,1256.634625142911,37.14957540333813
2.5,0.34,1.1159,True,,0.3239189074220404,1177.981184324884,37.862169073628856
2.5,0.35,1.1159,True,,0.3519371332865806,1101.9185614601313,38.26324824782457
2.5,0.36,1.1159,True,,0.37747165924065895,1033.0502632827893,38.59611005353556
2.5,0.37,1.1159,True,,0.39934912382580023,970.7290953089731,39.12110753020425
2.5,0.38,1.1159,True,,0.4161440588270915,919.3323640724722,39.7811351312038
2.5,0.39,1.1159,True,,0.4331480268818587,868.8209575246356,40.339097303034265
2.5,0.4,1.1159,True,,0.45144381007624024,819.2188784411948,40.596191968103994
2.5,0.41,1.1159,True,,0.4666941200331963,775.0376427572486,41.01555962399195
2.5,0.42,1.1159,True,,0.48116363351514463,735.0536885745622,41.27350981571956
2.5,0.43,1.1159,True,,0.4934797680571882,698.2683319918166,41.69207142905956
2.5,0.44,1.1159,True,,0.5071234856516509,661.9239272290099,41.83712591508684
2.5,0.45,1.1159,True,,0.5189737186790719,629.5623410447035,42.020580852134884
