arm,tag,seed,step,stable,violations,loss,cost_usd,epsilon,sigma,bond_length_nm,bond_k,angle_deg,angle_k
"BO, multi-output + constraints",gp_multi,0,46,False,blowup,,0.003435,7.748138,0.448559,0.362085,1427.233496,107.357188,142.70819
"BO, multi-output + constraints",gp_multi,0,47,True,,1.6004061967298806,0.08009,1.326578,0.28295,0.367768,5640.113616,171.796009,109.254689
"BO, multi-output + constraints",gp_multi,0,48,True,,16.436579346246106,0.067763,5.453799,0.448534,0.295904,1236.420321,141.280819,139.221048
"BO, multi-output + constraints",gp_multi,0,49,True,,1.8386283757157889,0.068996,7.769558,0.281746,0.390411,4362.927061,174.970053,30.564204
"BO, multi-output + constraints",gp_multi,0,50,True,,1.2641821467002055,0.066672,7.974278,0.297209,0.274839,4165.491985,120.961068,148.606088
"BO, multi-output + constraints",gp_multi,0,51,True,,0.7891147126673795,0.066701,2.166653,0.331721,0.208325,5274.723607,145.467136,13.163845
"BO, multi-output + constraints",gp_multi,0,52,True,,2.68365461728944,0.064998,5.958919,0.3358,0.39499,2129.918059,136.222957,13.390554
"BO, multi-output + constraints",gp_multi,0,53,True,,2.0444262673056652,0.070086,2.057444,0.411033,0.238897,3346.493704,156.309161,7.312225
"BO, multi-output + constraints",gp_multi,0,54,True,,2.5283702189738024,0.070751,1.140766,0.334027,0.396319,4067.221564,173.036169,83.637274
"BO, multi-output + constraints",gp_multi,0,55,True,,2.774804089107273,0.065457,7.086651,0.287375,0.213881,5584.204239,126.00217,28.098425
"BO, multi-output + constraints",gp_multi,0,56,True,,0.9880130674984414,0.069013,1.869142,0.289341,0.218666,4394.21786,140.078448,149.388055
"BO, multi-output + constraints",gp_multi,0,57,True,,1.2938262111687897,0.099826,2.677228,0.347294,0.34207,2510.74171,144.28258,18.36981
"BO, multi-output + constraints",gp_multi,0,58,True,,0.5268010076076594,0.077086,4.118271,0.280061,0.309042,4015.766215,118.690376,84.642996
"BO, multi-output + constraints",gp_multi,0,59,True,,3.2063904600021647,0.089516,1.47083,0.449431,0.210366,2496.199072,146.378253,9.28332
