x,y,loss,violations
400.0,5.0,,blowup
400.0,12.631579,,blowup
400.0,20.263158,,blowup
400.0,27.894737,,blowup
400.0,35.526316,,blowup
400.0,43.157895,,blowup
400.0,50.789474,,blowup
400.0,58.421053,,blowup
400.0,66.052632,,blowup
400.0,73.684211,,blowup
400.0,81.315789,,blowup
400.0,88.947368,,blowup
400.0,96.578947,,blowup
400.0,104.210526,,blowup
400.0,111.842105,,blowup
400.0,119.473684,,blowup
400.0,127.105263,,blowup
400.0,134.736842,,blowup
400.0,142.368421,,blowup
400.0,150.0,,blowup
694.736842,5.0,2.464596,
694.736842,12.631579,1.08439,
694.736842,20.263158,0.735589,
694.736842,27.894737,0.659421,
694.736842,35.526316,0.629313,
694.736842,43.157895,0.594035,
694.736842,50.789474,0.642676,
694.736842,58.421053,0.606415,
694.736842,66.052632,0.620566,
694.736842,73.684211,0.59876,
694.736842,81.315789,0.603116,
694.736842,88.947368,0.571155,
694.736842,96.578947,0.589159,
694.736842,104.210526,0.497203,
694.736842,111.842105,0.604184,
694.736842,119.473684,,blowup
694.736842,127.105263,0.522499,
694.736842,134.736842,0.603857,
694.736842,142.368421,,blowup
694.736842,150.0,0.660043,
989.473684,5.0,2.360623,
989.473684,12.631579,0.996774,
989.473684,20.263158,0.4445,
989.473684,27.894737,0.379375,
989.473684,35.526316,0.356234,
989.473684,43.157895,0.379227,
989.473684,50.789474,0.404131,
989.473684,58.421053,0.387513,
989.473684,66.052632,0.351824,
989.473684,73.684211,0.397938,
989.473684,81.315789,0.377643,
989.473684,88.947368,0.412819,
989.473684,96.578947,,blowup
989.473684,104.210526,0.393571,
989.473684,111.842105,0.380588,
989.473684,119.473684,0.408968,
989.473684,127.105263,0.436635,
989.473684,134.736842,0.413263,
989.473684,142.368421,0.42768,
989.473684,150.0,,blowup
1284.210526,5.0,2.271892,
1284.210526,12.631579,0.8548,
1284.210526,20.263158,0.323155,
1284.210526,27.894737,0.23234,
1284.210526,35.526316,0.236919,
1284.210526,43.157895,0.22832,
1284.210526,50.789474,0.219985,
1284.210526,58.421053,0.253877,
1284.210526,66.052632,0.231827,
1284.210526,73.684211,0.255246,
1284.210526,81.315789,0.225246,
1284.210526,88.947368,0.306112,
1284.210526,96.578947,0.286514,
1284.210526,104.210526,0.233775,
1284.210526,111.842105,0.271545,
1284.210526,119.473684,0.250125,
1284.210526,127.105263,0.253798,
1284.210526,134.736842,0.238628,
1284.210526,142.368421,,blowup
1284.210526,150.0,0.26731,
1578.947368,5.0,2.297692,
1578.947368,12.631579,0.859982,
1578.947368,20.263158,0.248364,
1578.947368,27.894737,0.180713,
1578.947368,35.526316,0.147778,
1578.947368,43.157895,0.105742,
1578.947368,50.789474,0.126,
1578.947368,58.421053,0.12426,
1578.947368,66.052632,0.129647,
1578.947368,73.684211,0.174188,
1578.947368,81.315789,0.144338,
1578.947368,88.947368,0.16071,
1578.947368,96.578947,0.174522,
1578.947368,104.210526,0.15628,
1578.947368,111.842105,0.17316,
1578.947368,119.473684,0.169296,
1578.947368,127.105263,0.170658,
1578.947368,134.736842,0.197014,
