epsilon,sigma,loss,loss_sd,n_stable,crash_frac,violations
0.57692,0.37385,2.326974,0.010572,5,0.0,
0.57692,0.37692,2.670935,0.009898,5,0.0,
0.57692,0.38,3.07017,0.012768,5,0.0,
0.57692,0.38308,3.514491,0.010497,5,0.0,
0.57692,0.38615,4.028394,0.007857,5,0.0,
0.57692,0.38923,4.613906,0.006592,5,0.0,
0.57692,0.39231,5.278145,0.009803,5,0.0,
0.57692,0.39538,6.003676,0.00719,5,0.0,
0.57692,0.39846,6.841359,0.001278,5,0.0,
0.57692,0.40154,7.762975,0.008292,5,0.0,
0.57692,0.40462,8.789545,0.007503,5,0.0,
0.57692,0.40769,9.941283,0.011168,5,0.0,
0.57692,0.41077,11.213162,0.006521,5,0.0,
0.57692,0.41385,12.620673,0.005154,5,0.0,
0.57692,0.41692,14.178847,0.002783,5,0.0,
0.57692,0.42,15.89102,0.003761,5,0.0,
0.61538,0.3,1.0495,0.032204,5,0.0,
0.61538,0.30308,1.089027,0.051663,5,0.0,
0.61538,0.30615,0.946556,0.063692,5,0.0,
0.61538,0.30923,0.851614,0.054495,5,0.0,
0.61538,0.31231,0.821539,0.05824,5,0.0,
0.61538,0.31538,0.72613,0.0644,5,0.0,
0.61538,0.31846,0.673638,0.064143,5,0.0,
0.61538,0.32154,0.670433,0.034852,5,0.0,
0.61538,0.32462,0.676613,0.051159,5,0.0,
0.61538,0.32769,0.67458,0.030079,5,0.0,
0.61538,0.33077,0.715941,0.037279,5,0.0,
0.61538,0.33385,0.75903,0.021577,5,0.0,
0.61538,0.33692,0.770091,0.036837,5,0.0,
0.61538,0.34,0.818346,0.029399,5,0.0,
0.61538,0.34308,0.91503,0.04108,5,0.0,
0.61538,0.34615,1.02586,0.060787,5,0.0,
0.61538,0.34923,1.107785,0.029521,5,0.0,
0.61538,0.35231,1.257512,0.012557,5,0.0,
0.61538,0.35538,1.42007,0.110697,5,0.0,
0.61538,0.35846,1.251529,0.089948,5,0.0,
0.61538,0.36154,1.347246,0.013229,5,0.0,
0.61538,0.36462,1.533307,0.013782,5,0.0,
0.61538,0.36769,1.741392,0.014486,5,0.0,
0.61538,0.37077,2.007558,0.017776,5,0.0,
0.61538,0.37385,2.321677,0.010843,5,0.0,
0.61538,0.37692,2.695649,0.008414,5,0.0,
0.61538,0.38,3.104226,0.012907,5,0.0,
0.61538,0.38308,3.585902,0.010026,5,0.0,
0.61538,0.38615,4.133456,0.009223,5,0.0,
0.61538,0.38923,4.756975,0.005268,5,0.0,
0.61538,0.39231,5.463991,0.007298,5,0.0,
0.61538,0.39538,6.243886,0.006059,5,0.0,
0.61538,0.39846,7.128462,0.006244,5,0.0,
0.61538,0.40154,8.118895,0.002671,5,0.0,
0.61538,0.40462,9.224286,0.005621,5,0.0,
0.61538,0.40769,10.447027,0.004949,5,0.0,
0.61538,0.41077,11.803778,0.004621,5,0.0,
0.61538,0.41385,13.30616,0.005052,5,0.0,
0.61538,0.41692,14.962091,0.008936,5,0.0,
0.61538,0.42,16.791024,0.006369,5,0.0,
0.65385,0.3,1.151071,0.073925,5,0.0,
0.65385,0.30308,1.029742,0.060587,5,0.0,
0.65385,0.30615,0.947159,0.075433,5,0.0,
0.65385,0.30923,0.899344,0.060859,5,0.0,
0.65385,0.31231,0.816688,0.056019,5,0.0,
0.65385,0.31538,0.704148,0.046602,5,0.0,
0.65385,0.31846,0.638919,0.031856,5,0.0,
0.65385,0.32154,0.597609,0.034052,5,0.0,
0.65385,0.32462,0.625151,0.063717,5,0.0,
0.65385,0.32769,0.573273,0.028951,5,0.0,
0.65385,0.33077,0.611166,0.036552,5,0.0,
0.65385,0.33385,0.665194,0.028224,5,0.0,
0.65385,0.33692,0.715534,0.048394,5,0.0,
0.65385,0.34,0.769241,0.031139,5,0.0,
0.65385,0.34308,0.837547,0.015181,5,0.0,
0.65385,0.34615,0.941007,0.021703,5,0.0,
0.65385,0.34923,1.058405,0.044516,5,0.0,
0.65385,0.35231,1.220519,0.020728,5,0.0,
0.65385,0.35538,1.10245,0.101295,5,0.0,
0.65385,0.35846,1.129811,0.034443,5,0.0,
0.65385,0.36154,1.265942,0.013607,5,0.0,
0.65385,0.36462,1.463292,0.021111,5,0.0,
0.65385,0.36769,1.706027,0.008655,5,0.0,
0.65385,0.37077,1.984359,0.007389,5,0.0,
0.65385,0.37385,2.314528,0.004834,5,0.0,
0.65385,0.37692,2.707756,0.006525,5,0.0,
0.65385,0.38,3.153217,0.011796,5,0.0,
0.65385,0.38308,3.664353,0.004534,5,0.0,
0.65385,0.38615,4.247902,0.010363,5,0.0,
0.65385,0.38923,4.914292,0.001982,5,0.0,
0.65385,0.39231,5.647189,0.005812,5,0.0,
0.65385,0.39538,6.493959,0.008121,5,0.0,
0.65385,0.39846,7.432258,0.010075,5,0.0,
0.65385,0.40154,8.480523,0.00538,5,0.0,
0.65385,0.40462,9.647048,0.007535,5,0.0,
0.65385,0.40769,10.948501,0.005775,5,0.0,
0.65385,0.41077,12.392993,0.004826,5,0.0,
0.65385,0.41385,13.987612,0.006139,5,0.0,
0.65385,0.41692,15.749626,0.007566,5,0.0,
