epsilon,sigma,cpu_loss,gpu_loss
1.13158,0.3,0.813539,0.788913
1.13158,0.30632,0.808845,0.868337
1.13158,0.31263,0.981837,0.923045
1.13158,0.31895,0.873785,0.884537
1.13158,0.32526,0.818796,0.845089
1.13158,0.33158,0.684246,0.603672
1.13158,0.33789,0.397497,0.41575
1.13158,0.34421,0.137689,0.244052
1.13158,0.35053,0.928221,0.857269
1.13158,0.35684,0.543573,0.534626
1.13158,0.36316,0.850625,0.84315
1.13158,0.36947,1.727951,1.734198
1.13158,0.37579,2.927896,2.932322
1.13158,0.38211,4.529975,4.534848
1.13158,0.38842,6.602841,6.576643
1.13158,0.39474,9.214898,9.213893
1.13158,0.40105,12.596341,12.613703
1.13158,0.40737,16.944125,16.93977
1.13158,0.41368,22.292821,22.284135
1.13158,0.42,28.884475,28.875521
1.21053,0.3,0.783562,0.76157
1.21053,0.30632,0.825151,0.813779
1.21053,0.31263,0.875656,0.797864
1.21053,0.31895,1.000993,0.960916
1.21053,0.32526,0.951734,0.989334
1.21053,0.33158,0.778663,0.849332
1.21053,0.33789,0.513395,0.526038
1.21053,0.34421,0.993844,1.229463
1.21053,0.35053,1.082943,1.109479
1.21053,0.35684,0.717044,0.724814
1.21053,0.36316,0.803013,0.794293
1.21053,0.36947,1.725423,1.74587
1.21053,0.37579,3.021889,3.035308
1.21053,0.38211,4.734868,4.731571
1.21053,0.38842,6.939128,6.928319
1.21053,0.39474,9.742835,9.737381
1.21053,0.40105,13.299444,13.297352
1.21053,0.40737,17.949263,17.948666
1.21053,0.41368,23.687514,23.685948
1.21053,0.42,30.70885,30.714533
1.28947,0.3,0.775156,0.759719
1.28947,0.30632,0.829629,0.869516
1.28947,0.31263,0.808395,0.884289
1.28947,0.31895,1.021977,0.968575
1.28947,0.32526,1.127114,1.091008
1.28947,0.33158,0.946261,0.934985
1.28947,0.33789,0.675496,0.720292
1.28947,0.34421,1.453337,1.501547
1.28947,0.35053,1.297142,1.324683
1.28947,0.35684,0.896388,0.864424
1.28947,0.36316,0.736731,0.723072
1.28947,0.36947,1.748762,1.741788
1.28947,0.37579,3.112364,3.11421
1.28947,0.38211,4.943624,4.928524
1.28947,0.38842,7.281971,7.28576
1.28947,0.39474,10.273285,10.276683
1.28947,0.40105,14.023508,14.020349
1.28947,0.40737,18.958081,18.953787
1.28947,0.41368,25.071492,25.067812
1.28947,0.42,32.56361,32.559499
1.36842,0.3,0.785713,0.758249
1.36842,0.30632,0.841551,0.831741
1.36842,0.31263,0.79659,0.851757
1.36842,0.31895,0.93959,0.961114
1.36842,0.32526,1.149245,1.047911
1.36842,0.33158,1.111303,1.08988
1.36842,0.33789,0.890581,0.890144
1.36842,0.34421,1.665602,1.686086
1.36842,0.35053,1.524977,1.517789
1.36842,0.35684,1.087351,1.071465
1.36842,0.36316,0.656994,0.668342
1.36842,0.36947,1.751309,1.754504
1.36842,0.37579,3.211696,3.204074
1.36842,0.38211,5.140181,5.140476
1.36842,0.38842,7.629365,7.626296
1.36842,0.39474,10.795001,10.801637
1.36842,0.40105,14.778124,14.776624
1.36842,0.40737,19.968812,19.975896
1.36842,0.41368,26.454193,26.437554
1.36842,0.42,34.402161,34.399878
1.44737,0.3,0.757853,0.819519
1.44737,0.30632,0.833437,0.819757
1.44737,0.31263,0.896627,0.873648
1.44737,0.31895,0.994238,1.028778
1.44737,0.32526,1.107056,1.085418
1.44737,0.33158,1.228453,1.268584
1.44737,0.33789,1.015776,1.065851
1.44737,0.34421,1.882306,1.906184
1.44737,0.35053,1.715019,1.729308
1.44737,0.35684,1.273432,1.266019
1.44737,0.36316,0.623744,0.603023
1.44737,0.36947,1.755471,1.742449
1.44737,0.37579,3.2928,3.298983
1.44737,0.38211,5.345974,5.335841
1.44737,0.38842,7.960049,7.966478
1.44737,0.39474,11.333871,11.314167
1.44737,0.40105,15.538211,15.536919
1.44737,0.40737,20.973399,20.977248
1.44737,0.41368,27.838779,27.827757
1.44737,0.42,36.244505,36.247482
1.52632,0.3,0.882847,0.811977
1.52632,0.30632,0.87875,0.891048
1.52632,0.31263,0.931158,0.90841
1.52632,0.31895,1.042554,1.045813
1.52632,0.32526,1.130521,1.149832
1.52632,0.33158,1.373806,1.38681
1.52632,0.33789,1.247071,1.237397
1.52632,0.34421,2.16075,2.136447
1.52632,0.35053,1.942207,1.927684
1.52632,0.35684,1.447824,1.440646
1.52632,0.36316,0.644649,0.63583
1.52632,0.36947,1.743604,1.73601
1.52632,0.37579,3.370064,3.382059
1.52632,0.38211,5.544008,5.539899
1.52632,0.38842,8.325569,8.307593
1.52632,0.39474,11.858304,11.861842
1.52632,0.40105,16.302911,16.3016
1.52632,0.40737,21.980522,21.979934
1.52632,0.41368,29.216074,29.20604
1.52632,0.42,38.101128,38.103449
1.60526,0.3,0.861614,0.870652
1.60526,0.30632,1.003613,1.011571
1.60526,0.31263,1.006908,1.063283
1.60526,0.31895,1.165314,1.179484
1.60526,0.32526,1.215959,1.23301
1.60526,0.33158,1.53191,1.502661
1.60526,0.33789,1.515433,1.415454
1.60526,0.34421,2.368971,2.354746
1.60526,0.35053,2.152411,2.122651
1.60526,0.35684,1.640483,1.622691
1.60526,0.36316,0.780189,0.772553
1.60526,0.36947,1.737725,1.746904
1.60526,0.37579,3.463832,3.469529
1.60526,0.38211,5.739352,5.730513
1.60526,0.38842,8.665021,8.650855
1.60526,0.39474,12.384277,12.383508
1.60526,0.40105,17.050972,17.054849
1.60526,0.40737,22.989723,23.005325
1.60526,0.41368,30.605872,30.604783
1.60526,0.42,39.935207,39.938439
1.68421,0.3,1.000843,0.903518
1.68421,0.30632,1.150227,1.100183
1.68421,0.31263,1.126625,1.12236
1.68421,0.31895,1.144325,1.204909
1.68421,0.32526,1.388156,1.352013
1.68421,0.33158,1.564668,1.544162
1.68421,0.33789,1.64185,1.618414
1.68421,0.34421,2.594332,2.615835
1.68421,0.35053,2.352964,2.337801
1.68421,0.35684,1.798296,1.806519
1.68421,0.36316,0.930135,0.922015
1.68421,0.36947,1.740163,1.742383
1.68421,0.37579,3.555675,3.550903
1.68421,0.38211,5.939032,5.916788
1.68421,0.38842,9.008669,8.984172
1.68421,0.39474,12.915305,12.91781
1.68421,0.40105,17.817902,17.817374
1.68421,0.40737,24.009037,24.013796
1.68421,0.41368,31.998609,31.993569
1.68421,0.42,41.788236,41.796421
1.76316,0.3,0.954461,1.097968
1.76316,0.30632,1.22265,1.255219
1.76316,0.31263,1.226489,1.222578
1.76316,0.31895,1.280835,1.313112
1.76316,0.32526,1.396425,1.489185
1.76316,0.33158,1.614783,1.591718
1.76316,0.33789,2.012534,1.983663
1.76316,0.34421,2.80027,2.840471
1.76316,0.35053,2.574031,2.55398
1.76316,0.35684,1.974828,1.979063
1.76316,0.36316,1.063531,1.051721
1.76316,0.36947,1.751892,1.760657
1.76316,0.37579,3.64235,3.632621
1.76316,0.38211,6.125777,6.116359
1.76316,0.38842,9.340132,9.335964
1.76316,0.39474,13.440173,13.442819
1.76316,0.40105,18.575572,18.574449
1.76316,0.40737,25.01876,25.019009
1.76316,0.41368,33.376531,33.371814
1.76316,0.42,43.633443,43.630391
1.84211,0.3,1.141817,1.14114
1.84211,0.30632,1.364603,1.345987
1.84211,0.31263,1.374985,1.364141
1.84211,0.31895,1.348933,1.399008
1.84211,0.32526,1.457425,1.633611
1.84211,0.33158,1.665931,1.738969
1.84211,0.33789,2.474195,2.008471
1.84211,0.34421,3.052329,3.044315
1.84211,0.35053,2.758641,2.758931
1.84211,0.35684,2.167572,2.17203
1.84211,0.36316,1.208526,1.19782
1.84211,0.36947,1.765307,1.757377
1.84211,0.37579,3.721151,3.722736
1.84211,0.38211,6.313827,6.317817
1.84211,0.38842,9.679737,9.699003
1.84211,0.39474,13.963109,13.967915
1.84211,0.40105,19.339211,19.316609
1.84211,0.40737,26.021342,26.0346
1.84211,0.41368,34.775923,34.751371
1.84211,0.42,45.480237,45.48341
1.92105,0.3,1.411776,1.195523
1.92105,0.30632,1.388703,1.425785
1.92105,0.31263,1.426124,1.436773
1.92105,0.31895,1.475539,1.455583
1.92105,0.32526,1.5805,1.617306
1.92105,0.33158,1.747638,1.760045
1.92105,0.33789,2.28891,2.392502
1.92105,0.34421,3.269989,3.268982
1.92105,0.35053,2.975585,2.980535
1.92105,0.35684,2.361562,2.339426
1.92105,0.36316,1.347873,1.34594
1.92105,0.36947,1.754852,1.732677
1.92105,0.37579,3.814587,3.82239
1.92105,0.38211,6.519534,6.520749
1.92105,0.38842,10.030284,10.038687
1.92105,0.39474,14.491389,14.496392
1.92105,0.40105,20.091048,20.089336
1.92105,0.40737,27.053077,27.056268
1.92105,0.41368,36.143009,36.135909
1.92105,0.42,47.309842,47.319185
2.0,0.3,1.362532,1.516188
2.0,0.30632,1.380961,1.435185
2.0,0.31263,1.523797,1.57092
2.0,0.31895,1.558896,1.600154
2.0,0.32526,1.813206,1.655289
2.0,0.33158,2.004255,1.931375
2.0,0.33789,2.914281,3.456157
2.0,0.34421,3.503651,3.500121
2.0,0.35053,3.183157,3.183452
2.0,0.35684,2.536407,2.553701
2.0,0.36316,1.486355,1.461669
2.0,0.36947,1.74191,1.741358
2.0,0.37579,3.889674,3.890148
2.0,0.38211,6.722314,6.722463
2.0,0.38842,10.374314,10.369113
2.0,0.39474,15.017029,15.030954
2.0,0.40105,20.84686,20.851876
2.0,0.40737,28.089797,28.090113
2.0,0.41368,37.53588,37.519857
2.0,0.42,49.169601,49.162755
